date,delay,distance,origin,destination
01110700,0,239,DAL,HOU
01110700,0,423,OMA,MDW
01110700,10,872,AUS,PHX
01110700,2,325,OAK,BUR
01110700,3,237,TUL,DAL
01110700,4,588,SLC,OAK
01110700,6,229,MDW,DTW
01110705,-15,1235,LAS,HOU
01110705,-5,1246,HOU,BWI
01110705,29,386,SJC,LAS
01110705,7,337,LAX,OAK
01110710,-5,251,STL,MDW
01110710,2,588,OAK,SLC
01110710,9,236,LAS,LAX
01110713,20,258,LAS,SAN
01110715,-5,419,HOU,OKC
01110719,3,2277,PVD,PHX
01110721,-4,842,BWI,TPA
01110725,-10,328,PHX,ABQ
01110725,0,192,HOU,SAT
01110726,13,1489,OAK,MCI
01110730,-3,284,CMH,MDW
01110730,-7,288,ALB,BWI
01110730,11,337,LAX,OAK
01110735,-11,251,MDW,STL
01110735,14,528,ELP,AUS
01110735,15,345,RNO,LAS
01110740,-4,718,MCI,ABQ
01110740,10,587,TPA,RDU
01110745,-2,229,STL,IND
01110745,-5,296,DAL,LIT
01110745,28,187,HOU,CRP
01110747,18,368,SLC,LAS
01110750,12,369,BUR,PHX
01110750,5,689,SEA,SLC
01110755,1,569,SJC,PDX
01110800,-1,328,BWI,PVD
01110800,-22,972,ISP,MCO
01110800,-4,1037,PHX,OMA
01110800,-6,251,STL,MDW
01110800,0,1797,BNA,LAX
01110800,3,358,SMF,BUR
01110800,3,370,PHX,LAX
01110805,-10,989,MCO,MDW
01110805,-8,314,BWI,CLE
01110806,14,395,BNA,MDW
01110810,-2,148,AUS,HOU
01110810,2,443,BNA,RDU
01110815,-11,307,CLE,MDW
01110815,0,1140,MCI,LAS
01110815,10,217,IAH,DAL
01110820,-25,1234,PVD,MCI
01110820,-8,842,MDW,PVD
01110824,2,646,OAK,PHX
01110825,-5,1044,MCI,PHX
01110825,3,448,BNA,CLE
01110828,10,422,RNO,SLC
01110830,0,328,PVD,BWI
01110830,1,440,STL,DTW
01110833,18,407,LAS,OAK
01110835,-18,605,SMF,SEA
01110835,3,480,SAN,SMF
01110835,6,1099,OMA,LAS
01110840,-11,303,HOU,MSY
01110840,17,1069,SAT,LAS
01110845,-13,217,DAL,IAH
01110845,-2,296,STL,LIT
01110845,0,889,ABQ,OAK
01110845,9,368,SLC,LAS
01110850,16,325,ONT,PHX
01110850,9,765,MDW,ISP
01110855,-7,255,BWI,RDU
01110855,5,303,MSY,HOU
01110900,-5,239,DAL,HOU
01110900,-5,246,MAF,ELP
01110900,5,239,HOU,DAL
01110900,7,389,SMF,ONT
01110905,0,335,BOI,RNO
01110905,12,1235,HOU,LAS
01110905,5,148,HOU,AUS
01110910,0,410,STL,BHM
01110910,9,487,MSY,TPA
01110915,-5,828,MCO,IND
01110918,13,487,TPA,MSY
01110921,0,440,DTW,STL
01110925,19,303,MSY,HOU
01110927,32,370,PHX,LAX
01110930,-20,1262,PHX,STL
01110930,-5,405,MCI,MDW
01110930,0,1751,BNA,ONT
01110930,17,935,TUL,PHX
01110935,-2,762,LAS,PDX
01110935,12,180,OAK,RNO
01110940,-14,888,JAN,BWI
01110940,-3,612,TPA,BNA
01110940,2,588,BWI,BNA
01110945,-10,291,SLC,BOI
01110945,4,180,RNO,OAK
01110947,14,632,MDW,RDU
01110950,-5,723,GEG,OAK
01110954,34,1479,MCI,SJC
01110955,5,647,SMF,PHX
01111000,-11,1670,BWI,ABQ
01111000,0,229,MDW,DTW
01111000,44,370,PHX,LAX
01111005,10,239,HOU,DAL
01111005,2,293,LBB,DAL
01111010,-13,296,LIT,STL
01111010,-5,417,SJC,SAN
01111010,5,419,OKC,HOU
01111014,12,1521,LAS,MDW
01111015,-7,377,MHT,BWI
01111015,15,1262,STL,PHX
01111018,12,370,LAX,PHX
01111018,17,308,LAX,SJC
01111025,-5,288,ALB,BWI
01111025,0,636,SAN,ELP
01111030,-11,1363,LAX,MCI
01111030,-6,239,DAL,HOU
01111032,14,389,SMF,ONT
01111033,65,1073,MCO,PVD
01111039,-1,237,TUL,DAL
01111040,-35,1180,ABQ,SEA
01111042,24,480,SMF,SAN
01111045,11,1164,AUS,SAN
01111048,2,304,SAN,PHX
01111050,-4,395,BNA,MDW
01111052,60,677,ABQ,LAX
01111055,0,288,BWI,ALB
01111058,22,446,OAK,SAN
01111059,71,337,LAX,OAK
01111100,14,1073,MCO,PVD
01111100,42,337,LAX,OAK
01111105,-12,611,BWI,MDW
01111105,-5,358,BUR,SMF
01111107,-2,393,LIT,HOU
01111110,-25,1246,BWI,HOU
01111110,7,507,SLC,PHX
01111110,9,287,GEG,BOI
01111115,12,677,HOU,ELP
01111120,-10,1363,MCI,LAX
01111120,-9,457,DTW,BNA
01111120,0,580,DAL,ABQ
01111122,4,448,CLE,BNA
01111125,2,197,FLL,TPA
01111130,-10,787,MCO,BWI
01111130,-25,1342,BWI,AUS
01111132,0,601,PHX,RNO
01111135,-22,1040,SAT,MCO
01111135,195,258,SAN,LAS
01111137,11,328,ABQ,PHX
01111140,-8,314,BWI,CLE
01111140,2,288,BWI,ALB
01111145,-1,276,HOU,HRL
01111145,-13,1489,IND,PHX
01111148,20,325,BUR,OAK
01111150,-4,296,DAL,LIT
01111150,2,181,OKC,DAL
01111150,4,189,AUS,DAL
01111155,9,303,MSY,HOU
01111200,-13,281,BUF,BWI
01111200,11,1999,PHX,BWI
01111200,7,303,HOU,MSY
01111205,-8,663,JAX,BWI
01111206,-4,605,SMF,SEA
01111210,-9,852,BDL,BNA
01111210,13,872,AUS,PHX
01111210,4,192,SAT,HOU
01111214,25,1479,SJC,MCI
01111215,-5,279,PDX,GEG
01111215,1,347,PHX,ELP
01111215,8,697,SEA,SJC
01111220,-11,229,DTW,MDW
01111220,13,361,OAK,ONT
01111220,62,189,DAL,AUS
01111225,-20,569,SJC,PDX
01111225,3,480,SMF,SAN
01111230,-3,395,MDW,BNA
01111230,-5,255,BWI,RDU
01111235,-1,248,SAT,DAL
01111235,113,258,SAN,LAS
01111240,-19,564,RNO,SEA
01111240,-5,935,PHX,TUL
01111240,15,370,PHX,LAX
01111241,60,407,OAK,LAS
01111245,-7,223,MCI,TUL
01111245,-8,487,MSY,TPA
01111245,9,628,ABQ,SAN
01111250,-5,611,BWI,MDW
01111252,58,487,TPA,MSY
01111255,-21,1093,ISP,FLL
01111300,-3,217,DAL,IAH
01111300,6,632,MDW,RDU
01111305,-5,283,BDL,BWI
01111305,1,588,BNA,BWI
01111307,45,1242,LAX,AUS
01111310,0,478,BHM,MCO
01111312,155,236,LAS,LAX
01111314,129,796,LAS,MAF
01111315,18,223,LAS,BUR
01111315,50,345,RNO,LAS
01111319,-2,338,BNA,CMH
01111320,-10,487,MSY,TPA
01111320,13,237,DAL,TUL
01111320,5,1137,TPA,PVD
01111324,33,369,PHX,BUR
01111325,48,358,BUR,SMF
01111329,3,718,MCI,ABQ
01111330,-3,324,AMA,DAL
01111330,13,337,LAX,OAK
01111330,3,335,BOI,RNO
01111335,6,550,MCO,MSY
01111340,-5,544,LIT,MDW
01111342,29,325,OAK,BUR
01111344,45,337,LAX,OAK
01111347,21,197,FLL,TPA
01111350,-6,296,DAL,LIT
01111355,0,188,SJC,RNO
01111355,1,332,ABQ,MAF
01111357,106,256,PHX,LAS
01111400,-10,616,MCO,BNA
01111400,0,178,FLL,MCO
01111400,32,462,OKC,STL
01111405,-20,495,BWI,SDF
01111405,5,423,MDW,OMA
01111410,-6,628,SAN,ABQ
01111410,15,248,SAT,DAL
01111415,-2,457,BNA,DTW
01111415,-8,677,LAX,ABQ
01111417,39,1090,AUS,LAS
01111420,-5,1050,MCO,BDL
01111420,26,335,RNO,BOI
01111420,57,671,OAK,SEA
01111425,11,405,MCI,MDW
01111425,114,256,LAS,PHX
01111430,7,181,OKC,DAL
01111434,81,762,LAS,PDX
01111435,17,682,BHM,BWI
01111437,45,491,MCI,BNA
01111440,-21,1073,ALB,MCO
01111440,8,351,STL,TUL
01111445,107,180,OAK,RNO
01111445,48,304,PHX,SAN
01111447,99,180,RNO,OAK
01111450,-6,271,SDF,MDW
01111452,27,1262,PHX,STL
01111455,-8,192,SAT,HOU
01111456,28,628,ABQ,SAN
01111457,91,417,SJC,SAN
01111500,30,584,ELP,LAS
01111500,4,410,STL,CMH
01111505,-10,284,CMH,MDW
01111505,0,291,SLC,BOI
01111506,17,842,TPA,BWI
01111507,15,919,MCI,SLC
01111510,-5,888,BWI,JAN
01111512,62,677,ELP,HOU
01111515,-4,395,MDW,BNA
01111515,0,251,MDW,STL
01111518,218,417,SAN,SJC
01111520,-5,377,BWI,MHT
01111520,50,308,SJC,LAX
01111522,66,341,LBB,AUS
01111525,8,296,DAL,LIT
01111529,19,677,HOU,ELP
01111530,52,342,SJC,SNA
01111530,57,325,OAK,BUR
01111537,-4,1912,PHX,BUF
01111538,20,369,BUR,PHX
01111540,30,446,OAK,SAN
01111541,103,714,LAX,ELP
01111545,-2,307,MDW,CLE
01111545,2,303,HOU,MSY
01111547,11,347,ELP,PHX
01111547,53,437,DAL,MSY
01111550,114,397,SMF,LAS
01111552,-5,377,MHT,BWI
01111555,24,621,SJC,PHX
01111556,36,564,SEA,RNO
01111600,105,422,RNO,SLC
01111600,4,239,HOU,DAL
01111605,-7,570,BHM,HOU
01111605,0,564,SEA,RNO
01111607,192,344,BOI,PDX
01111610,-16,989,MCO,MDW
01111611,83,446,SAN,OAK
01111615,-3,239,HOU,DAL
01111615,41,1797,LAX,BNA
01111618,30,407,OAK,LAS
01111620,14,630,PDX,SLC
01111620,64,453,HOU,TUL
01111625,-22,907,PVD,BNA
01111625,5,935,TUL,PHX
01111628,50,237,TUL,DAL
01111629,21,308,SJC,LAX
01111630,5,1797,BNA,LAX
01111633,2,239,HOU,DAL
01111635,33,304,PHX,SAN
01111635,5,550,MCO,MSY
01111638,11,570,MDW,BHM
01111640,34,345,LAS,RNO
01111641,35,1020,HOU,PHX
01111644,20,687,STL,HOU
01111645,5,1093,FLL,ISP
01111648,11,718,MCI,ABQ
01111652,50,224,SEA,GEG
01111654,216,256,LAS,PHX
01111656,50,833,OKC,PHX
01111700,0,197,FLL,TPA
01111700,69,1363,LAX,MCI
01111700,8,441,HOU,MAF
01111705,-5,377,MHT,BWI
01111705,253,386,SJC,LAS
01111710,0,570,HOU,BHM
01111710,10,181,DAL,OKC
01111712,14,543,PDX,OAK
01111712,8,192,HOU,SAT
01111715,-3,328,PHX,ABQ
01111715,14,319,MAF,DAL
01111716,87,308,LAX,SJC
01111719,18,251,STL,MDW
01111720,22,628,SAN,ABQ
01111720,5,277,ABQ,AMA
01111724,71,446,OAK,SAN
01111725,0,471,BNA,MSY
01111727,14,239,DAL,HOU
01111730,-15,842,BWI,TPA
01111730,14,307,MDW,CLE
01111730,47,651,PHX,SFO
01111735,10,491,MCI,BNA
01111735,20,328,BWI,PVD
01111736,131,796,MAF,LAS
01111739,75,180,OAK,RNO
01111744,46,236,LAX,LAS
01111745,-4,281,BUF,BWI
01111746,40,239,DAL,HOU
01111749,30,1262,PHX,STL
01111750,48,148,HOU,AUS
01111750,62,687,HOU,STL
01111755,-3,236,LAX,LAS
01111757,50,284,MDW,CMH
01111800,50,224,GEG,SEA
01111803,1,405,MDW,MCI
01111805,0,162,MDW,IND
01111805,17,197,FLL,TPA
01111809,35,880,STL,MCO
01111810,-10,108,PVD,ISP
01111810,8,303,MSY,HOU
01111812,29,328,ABQ,PHX
01111814,90,368,LAS,SLC
01111815,11,562,ELP,DAL
01111815,7,321,ABQ,TUS
01111819,101,636,ELP,SAN
01111820,2,1235,HOU,LAS
01111820,25,928,AUS,TPA
01111825,-5,925,FLL,BWI
01111825,7,181,OKC,DAL
01111830,3,237,DAL,TUL
01111832,38,237,STL,MCI
01111835,0,395,MDW,BNA
01111835,29,347,PHX,ELP
01111840,-2,324,DAL,AMA
01111840,-2,328,ABQ,PHX
01111840,5,550,MCO,MSY
01111843,0,611,MDW,BWI
01111845,133,423,MDW,OMA
01111847,75,304,PHX,SAN
01111850,-2,852,BNA,BDL
01111850,215,520,BOI,LAS
01111852,33,251,STL,MDW
01111853,23,279,GEG,PDX
01111855,30,187,CRP,HOU
01111858,36,370,LAX,PHX
01111900,-13,441,MAF,HOU
01111900,-5,471,MSY,BNA
01111900,24,1363,LAX,MCI
01111902,83,325,ONT,PHX
01111905,105,368,SLC,LAS
01111905,109,296,BUR,SJC
01111907,68,714,LAX,ELP
01111909,49,335,RNO,BOI
01111910,19,342,OMA,STL
01111910,67,239,DAL,HOU
01111912,31,590,SLC,LAX
01111915,30,405,MCI,MDW
01111920,-6,237,TUL,DAL
01111920,135,251,MDW,STL
01111921,21,487,ABQ,LAS
01111924,60,405,MCI,MDW
01111925,14,829,TPA,CMH
01111925,43,328,PHX,ABQ
01111926,23,487,LAS,ABQ
01111930,-5,323,BHM,SDF
01111935,17,256,LAS,PHX
01111935,260,1521,MDW,LAS
01111940,-2,373,LAX,SMF
01111940,107,417,SAN,SJC
01111940,41,872,PHX,AUS
01111941,13,319,DAL,MAF
01111945,-3,276,HRL,HOU
01111945,3,248,DAL,SAT
01111948,-10,1020,PHX,HOU
01111950,-5,318,JAX,FLL
01111950,20,177,BNA,BHM
01111951,150,1099,LAS,OMA
01111954,6,314,CLE,BWI
01111955,-5,108,ISP,PVD
01111955,72,616,BNA,MCO
01112000,-10,347,ELP,PHX
01112001,-1,1140,LAS,MCI
01112002,87,220,ISP,BWI
01112005,47,237,MCI,STL
01112006,52,1234,MCI,PVD
01112010,-6,324,AMA,DAL
01112010,84,370,PHX,LAX
01112015,-5,187,CRP,HOU
01112017,10,453,TUL,HOU
01112020,-2,197,TPA,FLL
01112020,12,345,LAS,RNO
01112022,67,276,HOU,HRL
01112025,0,304,SAN,PHX
01112025,5,395,MDW,BNA
01112028,71,389,SMF,ONT
01112030,89,889,OAK,ABQ
01112035,-2,189,DAL,AUS
01112038,23,880,STL,MCO
01112038,26,321,MSY,BHM
01112040,12,677,HOU,ELP
01112040,38,370,PHX,LAX
01112042,119,296,SJC,BUR
01112044,37,405,MDW,MCI
01112045,99,347,PHX,ELP
01112049,27,361,OAK,ONT
01112050,0,670,HOU,BNA
01112050,28,417,SJC,SAN
01112055,0,318,JAX,FLL
01112058,-1,605,SMF,SEA
01112100,-5,303,HOU,MSY
01112100,19,304,PHX,SAN
01112100,55,229,MDW,DTW
01112104,39,373,SMF,LAX
01112110,-7,405,MDW,MCI
01112110,103,389,ONT,SMF
01112112,35,410,STL,CMH
01112114,-6,630,SLC,PDX
01112115,20,373,SMF,LAX
01112115,60,368,LAS,SLC
01112117,8,487,MSY,TPA
01112120,2,281,BWI,BUF
01112123,4,677,ELP,HOU
01112125,0,197,FLL,TPA
01112128,61,787,BWI,MCO
01112130,-8,239,HOU,DAL
01112132,57,276,HRL,HOU
01112133,45,462,STL,OKC
01112137,58,1044,PHX,MCI
01112140,170,677,ABQ,LAX
01112142,13,389,SMF,ONT
01112142,64,345,RNO,LAS
01112148,44,371,SNA,OAK
01112150,11,417,SJC,SAN
01112155,0,670,BNA,HOU
01112158,22,328,ABQ,PHX
01112200,110,496,ELP,SAT
01112202,57,229,IND,STL
01112205,60,325,ONT,PHX
01112205,80,386,LAS,SJC
01112210,46,358,BUR,SMF
01112215,73,239,DAL,HOU
01112220,40,395,BNA,MDW
01112220,60,325,PHX,ONT
01112224,34,397,SMF,LAS
01112227,110,361,ONT,OAK
01112232,58,737,STL,BWI
01112234,35,361,ONT,OAK
01112242,25,237,STL,MCI
01112248,137,333,SJC,ONT
01112254,24,197,TPA,FLL
01112258,157,1044,MCI,PHX
01112305,100,370,LAX,PHX
01112316,56,236,LAS,LAX
01112350,120,621,SJC,PHX
01112359,5,405,MCI,MDW
01120028,187,358,BUR,SMF
01120052,191,389,SMF,ONT
01120530,0,370,LAX,PHX
01120540,-10,389,ONT,SMF
01120600,12,405,MCI,MDW
01120615,-1,399,SEA,BOI
01120620,-20,569,PDX,SJC
01120620,-4,358,SMF,BUR
01120625,-24,697,SEA,SJC
01120625,0,588,BNA,BWI
01120630,-10,399,BOI,SEA
01120630,-13,389,ONT,SMF
01120630,-3,237,MCI,STL
01120630,-5,405,MDW,MCI
01120630,-7,487,TPA,MSY
01120630,-8,682,BWI,BHM
01120630,2,303,MSY,HOU
01120630,30,328,ABQ,PHX
01120630,8,407,OAK,LAS
01120635,-10,256,PHX,LAS
01120635,0,328,PVD,BWI
01120640,-19,838,MHT,MDW
01120640,0,495,SDF,BWI
01120640,14,833,OKC,PHX
01120645,-5,423,MDW,OMA
01120645,0,496,SAT,ELP
01120650,-15,507,PHX,SLC
01120650,6,390,LAX,RNO
01120655,-16,938,MHT,BNA
01120700,-12,337,OAK,LAX
01120700,-3,588,SLC,OAK
01120700,-4,361,OAK,ONT
01120700,-5,437,MSY,DAL
01120700,0,1090,AUS,LAS
01120700,0,361,ONT,OAK
01120700,10,236,LAS,LAX
01120700,13,447,SAN,SFO
01120700,2,389,ONT,SMF
01120700,5,248,DAL,SAT
01120700,6,377,BWI,MHT
01120705,-5,197,FLL,TPA
01120705,0,386,SJC,LAS
01120708,18,370,LAX,PHX
01120710,-2,842,TPA,BWI
01120710,-8,651,PHX,SFO
01120710,42,647,SMF,PHX
01120715,-3,344,BOI,PDX
01120715,-5,318,JAX,FLL
01120715,0,405,MCI,MDW
01120715,7,546,GEG,SLC
01120720,-3,756,AUS,BNA
01120720,49,621,SJC,PHX
01120725,-6,967,BWI,MCI
01120725,10,325,PHX,ONT
01120730,-2,787,BWI,MCO
01120730,-3,239,HOU,DAL
01120730,3,471,MSY,BNA
01120730,9,237,MCI,STL
01120738,8,181,OKC,DAL
01120740,-5,1521,MDW,LAS
01120740,0,325,BUR,OAK
01120740,3,507,PHX,SLC
